name,address,latitude,longitude
The Cardinal Mascot Statue,"Ulmer Stadium, South Floyd Street, Louisville, Jefferson County, Kentucky, 40209, United States of America",38.2176594,-85.7540615113569
Finger Tips,"Ekstrom Library, 2301, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21691545,-85.7603710523901
Main Entrance to University of Louisville,"McCandless Hall, 2315, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21456835,-85.7618313662049
University of Louisville South Entrance,"Patterson Hall, 2313, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21420775,-85.7617264167158
Natural Sciences Building,"Natural Sciences Building, 215, Eastern Parkway, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21410385,-85.7597690138674
The Red Barn,"The Red Barn, 2011, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2179001,-85.7563142493283
University of Louisville Art Fountains,"University Blvd, Louisville, Jefferson County, Kentucky, 40209, United States of America",38.2142234,-85.7513149
Community Park,"Community Park, 2033, South 4th Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21804585,-85.7629347176526
The Dancer,"Dero, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2176388,-85.7562456
University of Louisville Fountains,"School of Music, 105, West Brandeis Avenue, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2197349,-85.7587499236005
The University of Louisville,"2323, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2136546,-85.7567293903026
Insomnia Cookies,"1915, South 4th Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2201041,-85.7625019
