name,address,latitude,longitude
Bettie Johnson Hall,"401, West Cardinal Boulevard, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2220013,-85.7633365
Carl E. Abner Memorial,"College of Business and Public Administration, 110, West Brandeis Avenue, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21903025,-85.7601262613465
Triangle Park Fountain,"South 4th Street, Louisville, Jefferson County, Kentucky, 40214, United States of America",38.2051018,-85.7655776
The Comfy Cow,"339, West Cardinal Boulevard, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2208805,-85.7624673
Louie Mascot Carving,"The Playhouse, 1911, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.219983,-85.7608211329728
Louisville Hall,"Louisville Hall, South 4th Street, Louisville, Jefferson County, Kentucky, 40214, United States of America",38.2189414,-85.7626732163555
Raphael Nystrand Memorial,"Cultural Center, 120, East Brandeis Avenue, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2185919,-85.7570940628969
"Metal Sculpture, Louisville","Lutz Hall, 200, University Blvd, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21501595,-85.758295325207
Freedom Park,"The Playhouse, 1911, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.219983,-85.7608211329728
Historic Old Louisville,"1800, South 2nd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2213458,-85.7597526
Interfaith Center - University Of Louisville,"2201, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21738945,-85.7579229374764
Engineering Art,"Duthie Center for Engineering, 222, Eastern Parkway, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21264035,-85.7608605714874
Kurz Hall,"Kurz Hall, South 4th Street, Louisville, Jefferson County, Kentucky, 40214, United States of America",38.2195319,-85.7634605693603
U of L GALApalooza Horse,"Dero, South Floyd Street, Louisville, Jefferson County, Kentucky, 40209, United States of America",38.2173362,-85.7552126
Louis Dembitz Brandeis Historical Marker,"Oppenheimer Hall, 2217, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21619255,-85.7614374104508
Childhood,"College of Education and Human Development, 1905, South 1st Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21930405,-85.7575762780408
Harold L. Adams Way,"Threlkeld Hall, 121, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21693665,-85.7571000775446
University of Louisville Clock,"Dero, South Brook Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2176388,-85.7562456
The Balance of Dreams and Plan,"Oppenheimer Hall, 2217, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21619255,-85.7614374104508
Charles Parrish Memorial,"2224, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.2162312254093,-85.7618301073917
Freedom Park The Underground Railroad,"The Playhouse, 1911, South 3rd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.219983,-85.7608211329728
Ralph R. Wright Natatorium,"Ralph R. Wright Natatorium, 2216, South Floyd Street, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21518535,-85.7555225163183
Cashflow Gallopalooza,"College of Business and Public Administration, 110, West Brandeis Avenue, Louisville, Jefferson County, Kentucky, 40208, United States of America",38.21903025,-85.7601262613465
